INDEX	X1	Y1	X2	Y2	NOTE
1	1164	282	1222	340	1
2	1227	337	1285	404	2
3	1295	476	1359	537	3
4	1283	651	1336	701	4
5	1273	734	1363	821	5
6	1943	533	1981	578	6
7	1351	700	1369	720	7
8	1010	1026	1069	1078	8
9	1463	1198	1514	1250	9
10	1487	1272	1546	1321	10
11	1508	1347	1576	1408	11
12	1508	1447	1567	1512	12
13	1486	1516	1542	1567	13
14	1157	1316	1218	1374	14
15	1961	1104	2015	1166	15
16	2482	812	2520	850	16
17	2574	917	2617	979	17
18	2139	1085	2195	1149	18
19	2319	1170	2362	1224	19
20	2476	1115	2527	1170	20
21	2546	1125	2596	1169	21
22	2569	1231	2607	1270	22
23	2515	1276	2558	1316	23
24	2650	1954	2701	1995	24
25	2636	1748	2688	1800	25
26	2789	1698	2836	1760	26
27	2552	1391	2594	1432	27
28	2213	1732	2263	1767	28
29	2270	1773	2310	1817	29
30	1917	1649	1957	1691	30
31	1967	1668	2006	1699	31
32	1849	1839	1918	1913	32
33	1910	1775	1954	1825	33
34	1968	1773	2013	1833	34
35	2017	1787	2064	1852	35
36	1884	1941	1936	1992	36
37	1941	2048	2017	2122	37
38	984	1935	1039	1994	38
39	995	2003	1054	2069	239
40	969	2082	1029	2118	40
41	1335	2104	1404	2150	41
42	1412	2116	1459	2167	42
43	1440	2181	1502	2233	43
44	1412	2248	1488	2320	44
45	1361	2337	1452	2394	45
46	1288	2397	1364	2470	46
47	1181	2478	1245	2539	47
48	1193	2358	1264	2430	48
49	1187	2230	1243	2268	49
50	1241	2166	1298	2215	50
51	936	2559	1005	2621	51
52	1598	2420	1659	2461	52
53	1619	2485	1676	2540	53
54	1546	2517	1605	2585	54
55	1617	2547	1689	2621	55
56	1504	2590	1581	2673	56
57	1088	2680	1191	2783	57
58	1209	2702	1296	2790	58
59	1190	2796	1295	2885	59
60	1846	2618	1964	2704	60
61	1843	2718	1985	2788	61
62	1997	2448	2103	2546	62
63	2133	3091	2264	3211	63
64	2203	2178	2303	2273	64
65	2326	2198	2408	2296	65
66	2442	2238	2567	2354	66
67	2450	2537	2540	2628	67
68	1410	1947	1496	2032	68
69	1523	2971	1638	3092	69
70	1810	2988	1914	3096	70
71	2055	2723	2151	2803	71
72	1841	2191	1956	2306	72
73	1785	2447	1895	2554	73
74	1370	3016	1459	3131	74
75	845	1715	960	1827	75
76	2242	2935	2363	3035	76
77	1554	1809	1602	1870	77
78	1717	1779	1763	1844	78
79	1752	1912	1800	1987	79
80	1790	2034	1838	2138	80
81	2341	1896	2374	1947	81
82	2274	2508	2313	2556	82
83	2037	2660	2082	2710	83
84	2365	2790	2431	2841	84
85	2611	2494	2653	2546	85
86	1943	3195	2018	3265	86
87	1181	1774	1218	1821	87
88	1010	1823	1058	1876	88
89	1157	2007	1210	2056	89
90	1095	2092	1137	2160	90
91	849	2126	895	2184	91
92	1515	2341	1555	2385	92
93	1469	2384	1509	2425	93
94	1413	2423	1456	2474	94
95	1253	2981	1322	3061	95
96	1240	1634	1275	1670	96
97	1610	1028	1649	1072	97
98	1667	1031	1704	1070	98
99	1669	1141	1707	1180	99
100	1766	1182	1808	1224	100
101	1852	1183	1893	1230	101
102	2042	1499	2080	1540	102
103	2128	1516	2173	1568	103
104	2204	1519	2243	1568	104
105	2208	1583	2247	1633	105
106	2269	1584	2312	1635	106
107	2161	1637	2200	1687	107
108	2217	1644	2259	1690	108
109	2290	1649	2335	1699	109
110	2362	1656	2408	1706	110
111	2365	1725	2408	1782	111
112	2428	1735	2473	1789	112
